,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
492,Blacked Out,Chris Young,Losing Sleep,53,189880,2017-10-20,10,0.598,0.391,7,-11.544,1,0.0323,0.835,1.48e-05,0.101,0.644,156.014,4,country
493,People Change,Mipso,Edges Run,64,212853,2018-04-06,6,0.374,0.276,7,-14.945,1,0.0353,0.884,0.0123,0.122,0.412,80.169,4,country
494,Pretty Hands,Jeffrey Foucault,Blood Brothers,48,140493,2018-06-22,10,0.517,0.131,10,-18.439,1,0.0344,0.926,0.0984,0.151,0.419,87.855,4,country
495,Asking For A Friend,Devin Dawson,Asking For A Friend,10,239280,2017-12-01,1,0.713,0.527,4,-7.512,1,0.0329,0.238,7.49e-06,0.111,0.445,123.006,4,country
496,The Love That We Need,Hayes Carll,Lovers and Leavers,52,248440,2016-04-08,6,0.369,0.365,4,-9.869,1,0.0451,0.708,0.0343,0.108,0.222,181.019,4,country
497,A Woman Like You,Lee Brice,Hard 2 Love,62,209786,2012-04-24,2,0.592,0.584,7,-7.422,1,0.0305,0.245,0.0,0.0862,0.371,160.048,4,country
498,Body On Body (Johnny Cash: Forever Words),Various Artists,Johnny Cash: Forever Words,49,266186,2018-04-06,9,0.514,0.439,4,-9.805,0,0.0276,0.776,0.00342,0.0902,0.252,140.128,4,country
499,Run of Good Luck,Rob Baird,Wrong Side of the River,9,225400,2016-05-13,4,0.544,0.166,6,-12.926,1,0.0347,0.701,2.95e-06,0.106,0.306,130.507,4,country
500,Kingdom of One,Maren Morris,Kingdom of One [from For The Throne (Music Inspired by the HBO Series Game of Thrones)],59,215786,2019-04-12,1,0.443,0.399,10,-7.578,0,0.0298,0.271,0.0,0.12,0.0787,86.086,4,country
501,Written in the Sand,Old Dominion,Written in the Sand,17,184080,2017-07-07,1,0.725,0.437,6,-9.602,1,0.0575,0.593,0.0,0.0842,0.759,83.985,4,country
502,Miles Away,Krysta Nick,Miles Away,47,220000,2015-12-16,1,0.546,0.49,10,-7.0,1,0.0308,0.335,0.0,0.1,0.373,161.743,4,country
503,Bring Me An Angel,Nashville Cast,"Nashville, Season 6: Episode 8 (Music from the Original TV Series)",42,150906,2018-02-22,5,0.395,0.263,3,-14.295,1,0.0377,0.656,7.41e-05,0.0782,0.214,109.861,3,country
504,You and Tequila,Kenny Chesney,Hemingway's Whiskey,63,242840,2010-09-28,4,0.691,0.454,6,-9.13,1,0.0256,0.437,0.00227,0.0783,0.35,135.839,4,country
505,The Captain's Daughter (Johnny Cash: Forever Words),Various Artists,Johnny Cash: Forever Words,49,297746,2018-04-06,5,0.519,0.354,1,-10.501,1,0.0321,0.824,0.0019,0.147,0.37,82.214,4,country
506,This Town Still Talks About You,Natalie Hemby,Puxico,48,268160,2017-01-13,7,0.522,0.47,0,-9.52,1,0.0242,0.00791,1.54e-06,0.103,0.344,95.957,4,country
507,Where You Are - Acoustic,Tenille Townes,Living Room Worktapes,53,243898,2018-04-13,1,0.387,0.174,2,-14.765,1,0.0323,0.614,0.0,0.12,0.213,161.304,4,country
