,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
261,"12 Études, Op. 10: Étude No. 5 in G-Flat Major ""Black Keys""",Frédéric Chopin,"Chopin: 24 Études, Op. 10 & Op. 25",43,100640,2002-08-13,5,0.38,0.111,1,-23.051,1,0.0402,0.987,0.905,0.127,0.33,111.49,4,classical
262,Duet,Daniel Hope,My Tribute To Yehudi Menuhin,5,296237,2016-02-05,5,0.504,0.157,5,-19.683,1,0.0427,0.791,0.0683,0.247,0.349,139.928,1,classical
263,Awakened Steppe in C Minor,Odgerel Sampilnorov,Mongolian Composers Piano Pieces,42,162000,2016-06-04,10,0.396,0.146,2,-24.237,0,0.0347,0.99,0.9,0.118,0.256,93.419,4,classical
264,Sei sonate M.S. 27 (op.3) per violino e chitarra / Sonata n.6 - In E Minor: Allegro vivo e spiritoso - Minore,Niccolò Paganini,Paganini For Two,5,111333,1993-01-01,9,0.56,0.22,4,-17.393,1,0.0534,0.91,0.677,0.0875,0.649,64.816,4,classical
265,Grand Canyon Suite: 1. Sunrise,Ferde Grofé,Grofé: Grand Canyon Suite/Gershwin: Porgy & Bess,5,401306,1983-01-01,2,0.152,0.153,9,-18.373,1,0.036,0.6,0.919,0.101,0.0905,137.109,4,classical
266,Morning Passages,Philip Glass,"Philip Glass: Music from ""The Hours""",43,348346,2004-07-20,2,0.301,0.188,3,-18.352,1,0.0357,0.979,0.889,0.125,0.0323,101.297,4,classical
267,"Symphony No. 1 in D major, Wq. 183/1: Symphony No. 1 in D major, Wq. 183/1: I. Allegro di molto",Carl Philipp Emanuel Bach,"C.P.E.Bach: Symphonies 1-4, Cello Concerto in A",50,377200,2006-11-14,1,0.292,0.164,1,-17.792,1,0.0342,0.912,0.0296,0.177,0.284,149.46,4,classical
268,Bachianas brasileiras No. 7: III. Toccata: Desafio (Joust),Heitor Villa-Lobos,Villa-Lobos: Bachianas Brasileiras Nos. 7-9,42,423640,2006-11-01,3,0.283,0.133,11,-25.586,0,0.0412,0.909,0.8,0.0927,0.177,116.376,4,classical
269,"Piano Concerto in G Major, Hob XVIII:3: Finale - rondo",Leif Ove Andsnes,"Haydn: Piano Concertos Nos. 3, 4 & 11",44,219240,2000-02-22,3,0.522,0.162,7,-24.103,1,0.0472,0.987,0.875,0.13,0.368,82.018,4,classical
270,Zaïs: Overture - Live,Jean-Philippe Rameau,Rameau: Une symphonie imaginaire,4,347000,2005-01-01,1,0.367,0.349,1,-15.256,1,0.0532,0.872,0.74,0.1,0.244,127.064,3,classical
271,"Piano Quintet in A Major, D. 667, Op. 114 ""Trout"": IV. Tema con variazioni",Franz Schubert,"Schubert: Piano Quintet in A Major, Op. 114, D. 667 ""Trout""",36,466333,1996,4,0.235,0.0648,2,-26.038,1,0.0478,0.971,0.783,0.0805,0.237,86.313,4,classical
272,"Goldberg Variations, BWV 988: Var. 13 a 2 Clav.",Igor Levit,"Bach, Beethoven, Rzewski",42,335973,2015-10-09,14,0.126,0.0575,7,-30.823,1,0.0595,0.992,0.907,0.133,0.223,61.871,3,classical
273,Presto in C Major,Quatuor Diotima,"Schoenberg, Berg, Webern: Complete Works for String Quartet",42,391480,2016-02-26,1,0.41,0.0892,0,-20.308,1,0.0551,0.929,0.367,0.375,0.389,78.749,4,classical
274,"Trio No. 3, Op. 1: IV. Finale. Prestissimo",Ludwig van Beethoven,"Beethoven: Piano Trios, Op. 1 - Hache: Desinstalation (Deluxe Edition)",42,517746,2017-03-24,4,0.357,0.0563,0,-25.196,0,0.0386,0.956,0.8,0.105,0.291,138.859,4,classical
275,"Concerto Grosso, Op. 6, No. 01 in G Major (HWV 319): A tempo giusto",George Frideric Handel,"Handel: Concerti Grossi, Op. 6 Nos. 1-12",43,102866,1998,7,0.192,0.0314,6,-23.34,1,0.0364,0.923,2.22e-06,0.113,0.169,87.37,4,classical
