,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
547,Come Fly With Me,¡Oye Frank! Sonata Latina Tribute Orchestra,¡Oye Frank! Sonata Latina Tribute Orchestra,6,180413,2015-03-24,2,0.826,0.624,11,-6.698,1,0.0447,0.559,0.0,0.083,0.886,142.027,4,jazz
548,Como Fue (feat. Bobby Carcassés),Jazz At Lincoln Center Orchestra,Live in Cuba,37,417302,2015-08-21,5,0.446,0.527,10,-8.009,1,0.049,0.795,0.000709,0.722,0.591,81.5,4,jazz
549,Bebochicochuchoturo,Arturo O'Farrill,BeboChicoChuchoTuro,26,536309,2017-08-18,1,0.395,0.741,2,-9.294,1,0.0588,0.0125,0.909,0.0727,0.465,139.079,4,jazz
550,Tirándote Flores II,Eddie Palmieri,La Perfecta II,1,330826,2002-01-01,3,0.604,0.668,5,-5.716,0,0.043,0.341,0.000574,0.0376,0.867,142.433,4,jazz
551,Don´t You Worry 'Bout A Thing,Arturo Sandoval,Ultimate Duets,35,259853,2018-05-18,1,0.756,0.806,0,-5.047,1,0.0352,0.0456,0.0,0.07,0.871,134.056,4,jazz
552,Sofrito,Mongo Santamaria,Sofrito,45,366200,1976,4,0.644,0.519,10,-8.895,1,0.0373,0.275,0.0192,0.0793,0.453,117.739,4,jazz
553,Sin Tu Cariño,Jazz At Lincoln Center Orchestra,Una Noche Con Rubén Blades,35,468849,2018-10-19,9,0.519,0.596,5,-7.922,1,0.15,0.769,4.35e-05,0.943,0.716,95.606,4,jazz
554,Como Traigo La Yuca - Live,Chucho Valdés,Live At The Village Vanguard,40,396226,2000-01-01,7,0.479,0.378,5,-16.853,1,0.0554,0.874,0.863,0.763,0.682,157.137,4,jazz
555,En Esta Tarde Gris,Martirio,Flor De Piel,35,311920,1999,3,0.42,0.344,2,-10.568,0,0.0509,0.919,1.6e-06,0.153,0.489,161.756,3,jazz
556,"Ay, Mamá Inés",Alfredo Rodriguez,Tocororo,37,194706,2016-03-04,7,0.794,0.362,2,-13.089,0,0.0879,0.669,0.881,0.0941,0.806,87.083,4,jazz
557,Linda Guajira,Mongo Santamaria,"Latin Jazz, Vol. 3",36,185786,2013-06-28,7,0.765,0.578,7,-14.18,1,0.0402,0.587,0.689,0.027,0.97,132.871,4,jazz
558,2/3's Adventure,Jazz At Lincoln Center Orchestra,Live in Cuba,39,505323,2015-08-21,1,0.477,0.721,0,-7.192,0,0.0523,0.656,0.0451,0.629,0.636,116.277,4,jazz
559,Descarga Entre Amigos (feat. Rubén Blades),Carlos Henriquez,The Bronx Pyramid,31,321420,2015-09-18,3,0.581,0.602,0,-8.477,1,0.0519,0.613,9.72e-05,0.0737,0.658,112.804,4,jazz
560,Descarga Valdes,Bebo Valdés,Juntos para Siempre,27,289986,2014-06-01,2,0.405,0.246,5,-14.352,1,0.0462,0.932,0.872,0.0981,0.639,80.242,4,jazz
561,Te Vas,Pete Escovedo,E Music,1,341066,2000-01-01,5,0.712,0.535,3,-11.331,0,0.0498,0.196,0.772,0.0376,0.96,117.713,4,jazz
562,Bucle,Tomás Gubbins,Proyecto Satélite,40,422200,2016-07-20,4,0.619,0.355,7,-11.85,0,0.0364,0.867,0.886,0.104,0.245,87.261,3,jazz
563,"Cuando, Cuando",Tito Rodriguez,"Yo Soy El Bolero: Tito Rodríguez, Vol. 2 (Remastered)",34,179440,2012-05-22,8,0.633,0.739,8,-5.589,1,0.0439,0.572,3.57e-06,0.248,0.727,104.226,4,jazz
564,Águas De Março,Antônio Carlos Jobim,Antonio Carlos Jobim: Finest Hour,10,214866,2000-01-01,14,0.649,0.375,3,-14.795,1,0.134,0.819,0.0,0.12,0.527,143.807,4,jazz
565,Tres Palabras,Bebo Valdés,Juntos para Siempre,34,283786,2014-06-01,3,0.444,0.21,0,-13.513,0,0.0476,0.954,0.915,0.099,0.369,118.436,4,jazz
566,Don't Like Goodbyes - Bonus Track,Jazz At Lincoln Center Orchestra,Una Noche Con Rubén Blades,32,407832,2018-10-19,12,0.336,0.255,0,-10.385,1,0.035,0.765,0.000131,0.716,0.19,177.881,3,jazz
567,El Shing-A-Ling,Poncho Sanchez,Poncho At Montreux,38,404680,2004-11-16,2,0.551,0.572,2,-13.535,1,0.0747,0.379,0.0463,0.639,0.853,136.83,4,jazz
568,La Fiesta,Chick Corea,Selected Recordings,39,541680,2002-04-29,2,0.212,0.561,9,-14.217,0,0.0545,0.8,0.00457,0.129,0.257,76.257,4,jazz
569,Dos Gardenias,Buena Vista Social Club,Buena Vista Social Club,60,183902,1997-09-16,5,0.556,0.175,4,-18.346,0,0.0404,0.821,0.000108,0.12,0.501,92.067,4,jazz
570,Chucho’s Mood,Chucho Valdés,Jazz Batá 2,37,432617,2018-11-16,5,0.544,0.431,5,-12.592,1,0.0763,0.921,0.935,0.0917,0.556,114.987,4,jazz
