,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
483,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),84,210200,2018-10-05,9,0.553,0.502,0,-5.972,1,0.0409,0.299,0.0,0.764,0.296,129.976,4,seasonal
484,I'll Never Love Again - Film Version,Lady Gaga,A Star Is Born Soundtrack,73,281066,2018-10-05,33,0.451,0.34,7,-7.466,1,0.031,0.763,2.49e-06,0.135,0.221,110.502,4,seasonal
485,Quiet,Jason Mraz,YES!,52,258720,2014-07-08,7,0.596,0.408,0,-11.103,1,0.0404,0.641,0.0,0.0973,0.359,76.97,4,seasonal
486,All of the Stars,Various Artists,The Fault In Our Stars: Music From The Motion Picture,69,234986,2014-05-19,1,0.436,0.562,11,-6.106,1,0.0278,0.0102,0.000278,0.198,0.24,150.066,4,seasonal
487,Jealous,Labrinth,Jealous,78,287693,2014-11-21,1,0.435,0.155,1,-8.948,1,0.046,0.873,0.0,0.107,0.0935,128.532,3,seasonal
488,When I Fall In Love,Michael Bublé,When I Fall In Love,7,243507,2018-09-27,1,0.228,0.342,0,-8.038,1,0.0314,0.718,0.0136,0.162,0.0788,115.562,4,seasonal
489,Love You Anymore,Michael Bublé,Love You Anymore,23,182587,2018-10-12,1,0.691,0.271,6,-7.583,1,0.0335,0.892,0.0,0.109,0.548,89.99,4,seasonal
490,Lost On You,Lewis Capaldi,Lost On You,67,195579,2017-07-07,1,0.563,0.261,10,-9.251,1,0.0709,0.918,0.0,0.0982,0.411,125.129,4,seasonal
491,Fade,Lewis Capaldi,Fade,63,244053,2017-10-06,1,0.419,0.412,7,-10.384,1,0.0453,0.258,0.0,0.0939,0.094,137.916,4,seasonal
492,Tough,Lewis Capaldi,Tough,70,229282,2018-06-08,1,0.627,0.715,1,-5.019,1,0.0329,0.127,0.0,0.0768,0.481,115.005,4,seasonal
493,Bruises,Lewis Capaldi,Bruises,75,218492,2017-06-19,1,0.572,0.319,4,-6.206,1,0.0685,0.963,0.0,0.161,0.359,110.922,4,seasonal
494,Grace,Lewis Capaldi,Grace,76,184880,2018-09-21,1,0.733,0.533,4,-6.971,1,0.0357,0.49,0.0,0.171,0.483,104.506,4,seasonal
495,Let Me Down Slowly,Alec Benjamin,Let Me Down Slowly,25,169180,2018-05-25,1,0.649,0.548,1,-5.692,0,0.0318,0.733,0.0,0.136,0.506,150.036,4,seasonal
